"Metabolite"	"Number_of_IVs"	"Number_of_Proxies"	"Simple_Median_Estimate"	"Simple_Median_SE"	"Simple_Median_Pval"	"Weighted_Median_Estimate"	"Weighted_Median_SE"	"Weighted_Median_Pval"	"Random_IVW_Estimate"	"Random_IVW_SE"	"Random_IVW_Pval"	"Random_IVW_RSE"	"Random_IVW_HetStat"	"Random_IVW_FStat"	"Fixed_IVW_Estimate"	"Fixed_IVW_SE"	"Fixed_IVW_Pval"	"Fixed_IVW_RSE"	"Fixed_IVW_HetStat"	"Fixed_IVW_FStat"	"Egger_Estimate"	"Egger_SE"	"Egger_Pval"	"Egger_Intercept"	"Egger_Intercept_SE"	"Egger_Intercept_Pval"	"Egger_RSE"	"Egger_HetStat"	"Egger_Isq"
"1-(1-enyl-oleoyl)-GPC (P-18_1)*"	2	0	NA	NA	NA	NA	NA	NA	0.115351902650549	0.0539342881369801	0.0324560051251255	3.74702347380884	14.0401849132745	70.4259935495826	0.115351902650549	0.0143939018567599	1.11088608482891e-15	3.74702347380884	14.0401849132745	70.4259935495826	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16_0_20_4)*"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0586556211172961	0.0178949352561242	0.00104627729200534	NA	NA	83.9704726622425	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*"	3	0	-0.00900961370830745	0.0202780057621273	0.656822287903586	0.0567361327191495	0.0084115342423246	1.52985148303572e-11	0.0575293045008877	0.0268126803543948	0.0319048532378138	3.81010895861856	29.0338605530909	187.600788537582	0.0575293045008877	0.00703724766026543	2.9593392164606e-16	3.81010895861856	29.0338605530909	187.600788537582	0.169300559038178	0.0891740574336018	0.057624918747458	-0.0208043724137604	0.0160295418054434	0.194329630757335	3.28868246065699	10.8154323270329	0.984699058168295
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16_0_22_6)*"	3	0	0.0110588230647553	0.0149587265637473	0.459731484260192	0.0183212378241315	0.0134851188594876	0.174265020808123	0.00983403265636691	0.0359197493416204	0.784255327177763	3.23404557879211	20.9181016114096	88.2895821988539	0.00983403265636691	0.0111067542081569	0.375935472332425	3.23404557879211	20.9181016114096	88.2895821988539	0.146040740648453	0.141934682625195	0.303512941796795	-0.0142451168200335	0.014357108963298	0.321100199890352	3.24668361111003	10.5409544706505	0.853616109965916
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16_0_22_6)*"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0661381620453984	0.0210875299275183	0.00171056964243568	NA	NA	73.2658288605611	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16_0_18_2)*"	4	0	-0.0449720569067001	0.0137109346108712	0.00103801950823247	-0.0479699301296946	0.0137278959915039	0.000475236142696153	-0.0503980987366828	0.0155117659198198	0.00115801734176165	1.47625031403787	6.53794496909072	59.8027940495088	-0.0503980987366828	0.0105075445351755	1.61564629428043e-06	1.47625031403787	6.53794496909072	59.8027940495088	-0.0753564277721227	0.0794338723023953	0.342789141859959	0.00213465774505975	0.00660664066789243	0.746613532963699	1.76261157127628	6.21359910239407	0.732596329410681
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16_0_18_2)*"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.00876367516736898	0.0156494199417303	0.575479437698054	NA	NA	150.596268060426	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16_0_14_0)*"	3	0	0.00798027446398358	0.0101005127537669	0.429477502344738	0.0142907317709589	0.00975913180862461	0.143099822269316	0.0274415716534622	0.0487171887443222	0.573242088486132	6.081371025048	73.9661470885868	151.897711612846	0.0274415716534622	0.00801088908137087	0.000613592487988128	6.081371025048	73.9661470885868	151.897711612846	-0.023238637646339	0.208054062423623	0.911065094761662	0.00706296036211237	0.0274634912528319	0.797042642252536	8.32931805655973	69.377539287332	0.949938112880743
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16_0_18_1)*"	6	0	-0.0252071308195271	0.0154149979996452	0.101999976300791	-0.0494589043053964	0.014053846949219	0.000432779902378745	-0.0315414441165625	0.0194294616556391	0.10450770641987	2.01416562092419	20.2843157425646	53.9794722677889	-0.0315414441165625	0.00964640715430543	0.00107638456946399	2.01416562092419	20.2843157425646	53.9794722677889	0.00941420481804964	0.112807535583689	0.933490800927932	-0.00366098033898859	0.00990131057728588	0.711570974278758	2.21438174162448	19.6139459905595	0.724974946728673
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16_0_18_1)*"	2	1	NA	NA	NA	NA	NA	NA	0.00144598035943695	0.0182346138076331	0.936795075650715	0.405885716054299	0.164743214496911	66.8700080338094	0.00144598035943695	0.0182346138076331	0.936795075650715	0.405885716054299	0.164743214496911	66.8700080338094	NA	NA	NA	NA	NA	NA	NA	NA	NA
