"Metabolite"	"Number_of_IVs"	"Number_of_Proxies"	"Weighted_Mode_Estimate"	"Weighted_Mode_SE"	"Weighted_Mode_Pval"	"Weighted_Median_Estimate"	"Weighted_Median_SE"	"Weighted_Median_Pval"	"Random_IVW_Estimate"	"Random_IVW_SE"	"Random_IVW_Pval"	"Random_IVW_RSE"	"Random_IVW_HetStat"	"Random_IVW_FStat"	"Fixed_IVW_Estimate"	"Fixed_IVW_SE"	"Fixed_IVW_Pval"	"Fixed_IVW_RSE"	"Fixed_IVW_HetStat"	"Fixed_IVW_FStat"	"Egger_Estimate"	"Egger_SE"	"Egger_Pval"	"Egger_Intercept"	"Egger_Intercept_SE"	"Egger_Intercept_Pval"	"Egger_RSE"	"Egger_HetStat"	"Egger_Isq"
"1-(1-enyl-oleoyl)-GPC (P-18_1)*"	5	0	0.118547649140658	0.0463520731511771	0.0105413027460194	0.0767873092833648	0.0237353336088796	0.00121579832090535	0.070585985057852	0.036163683109313	0.050956343808504	3.24651345855372	42.1593985462818	50.5781236625968	0.070585985057852	0.0111392370834105	2.34740954928547e-10	3.24651345855372	42.1593985462818	50.5781236625968	0.197409416427057	0.105197245915015	0.0605778077220447	-0.0125271305516215	0.00984493474861441	0.203215322547156	3.02111909768297	27.3814818071544	0.916457133733248
"1-(1-enyl-oleoyl)-GPE (P-18_1)*"	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.00405817557006714	0.0385526679156378	0.916166996259808	NA	NA	21.0227298890652	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16_0_20_4)*"	2	0	NA	NA	NA	NA	NA	NA	-0.00460777943565605	0.0243536041672945	0.849933572737454	3.31273929866057	10.9742416608901	310.582556853986	-0.00460777943565605	0.00735150036621999	0.530802916977712	3.31273929866057	10.9742416608901	310.582556853986	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*"	3	0	0.0786684006502052	0.00957153138916416	2.05209874246044e-16	0.0567361327191495	0.0084115342423246	1.52985148303572e-11	0.0575293045008877	0.0268126803543948	0.0319048532378138	3.81010895861856	29.0338605530909	187.600788537582	0.0575293045008877	0.00703724766026543	2.9593392164606e-16	3.81010895861856	29.0338605530909	187.600788537582	0.169300559038178	0.0891740574336018	0.057624918747458	-0.0208043724137604	0.0160295418054434	0.194329630757335	3.28868246065699	10.8154323270329	0.984699058168295
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16_0_22_6)*"	4	0	0.0505052799517762	0.0226583220271422	0.0258142567161043	0.0675369269827259	0.0210497530886106	0.00133455891514867	0.0582443937305928	0.0398967867649151	0.14432393408395	4.70595080122636	66.437918830689	102.205678667303	0.0582443937305928	0.00847794387364145	6.41531202640945e-12	4.70595080122636	66.437918830689	102.205678667303	0.262044245300995	0.146376797677914	0.073421213872016	-0.0231779508836161	0.0161829112659914	0.152072707248773	4.04956977273415	32.7980306884842	0.882058788728983
"1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16_0_22_6)*"	2	0	NA	NA	NA	NA	NA	NA	0.135494058525504	0.0724062159721121	0.0613029240040345	4.75466561986734	22.6068451567485	62.1027810544706	0.135494058525504	0.0152284559548337	5.71568199153361e-19	4.75466561986734	22.6068451567485	62.1027810544706	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16_0_18_2)*"	4	0	-0.0459333920063957	0.015958978697245	0.00399930868665684	-0.0479699301296946	0.0137278959915039	0.000475236142696153	-0.0503980987366828	0.0155117659198198	0.00115801734176165	1.47625031403787	6.53794496909072	59.8027940495088	-0.0503980987366828	0.0105075445351755	1.61564629428043e-06	1.47625031403787	6.53794496909072	59.8027940495088	-0.0753564277721227	0.0794338723023953	0.342789141859959	0.00213465774505975	0.00660664066789243	0.746613532963699	1.76261157127628	6.21359910239407	0.732596329410681
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16_0_18_2)*"	2	0	NA	NA	NA	NA	NA	NA	-0.000111194542320734	0.0179386845378668	0.995054272779269	1.27265871998938	1.619660217565	89.7532177985617	-0.000111194542320734	0.0140954399291088	0.993705802102054	1.27265871998938	1.619660217565	89.7532177985617	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16_0_14_0)*"	3	0	2.83931556291916e-05	0.0100914926492075	0.99775509615802	0.0142907317709589	0.00975913180862461	0.143099822269316	0.0274415716534622	0.0487171887443222	0.573242088486132	6.081371025048	73.9661470885868	151.897711612846	0.0274415716534622	0.00801088908137087	0.000613592487988128	6.081371025048	73.9661470885868	151.897711612846	-0.023238637646339	0.208054062423623	0.911065094761662	0.00706296036211237	0.0274634912528319	0.797042642252536	8.32931805655973	69.377539287332	0.949938112880743
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16_0_18_1)*"	7	0	0.00855353769228581	0.0358883377467423	0.811619316918118	-0.0162823592223999	0.0146007147693023	0.26477522778267	-0.0206477940128024	0.0173328455454974	0.233554510681652	2.06376872539069	25.5548481114042	63.8304727986058	-0.0206477940128024	0.0083986375664338	0.0139530641178982	2.06376872539069	25.5548481114042	63.8304727986058	0.0543553944855792	0.09196696036939	0.554499140716774	-0.00703956529266114	0.00846856523539587	0.405827716171304	2.11905742446432	22.4520218408867	0.787171143639242
