"Metabolite"	"Number_of_IVs"	"Number_of_Proxies"	"Weighted_Mode_Estimate"	"Weighted_Mode_SE"	"Weighted_Mode_Pval"	"Weighted_Median_Estimate"	"Weighted_Median_SE"	"Weighted_Median_Pval"	"Random_IVW_Estimate"	"Random_IVW_SE"	"Random_IVW_Pval"	"Random_IVW_RSE"	"Random_IVW_HetStat"	"Random_IVW_FStat"	"Fixed_IVW_Estimate"	"Fixed_IVW_SE"	"Fixed_IVW_Pval"	"Fixed_IVW_RSE"	"Fixed_IVW_HetStat"	"Fixed_IVW_FStat"	"Egger_Estimate"	"Egger_SE"	"Egger_Pval"	"Egger_Intercept"	"Egger_Intercept_SE"	"Egger_Intercept_Pval"	"Egger_RSE"	"Egger_HetStat"	"Egger_Isq"
"M00057"	56	0	0.120173445910289	0.116594551055499	0.302683769192156	0.0971218941971655	0.128224282903624	0.448787731762531	0.0329108280268409	0.0980815536012427	0.737213596581175	1.27618333975341	89.5754154165297	133.329528769841	0.0329108280268409	0.0768553784914589	0.668492681932375	1.27618333975341	89.5754154165297	133.329528769841	0.146868554526502	0.17125782839778	0.391120339068326	-0.00335035874386752	0.00412120379663966	0.416243092184182	1.28013577401122	88.4923703947779	0.977107534014933
"M00063"	56	0	-0.111292149878728	0.113440240128287	0.326561120433919	-0.147993269021992	0.124996123826615	0.236419845084395	0.0173534762632933	0.094936004482439	0.854961770343443	1.23522635278826	83.9181278442417	133.329528769841	0.0173534762632933	0.076857172183982	0.821365814108664	1.23522635278826	83.9181278442417	133.329528769841	-0.183807151578161	0.163390017626373	0.260606199151871	0.00591398195206157	0.00393178585372522	0.132543648146589	1.22128928646576	80.5435661467465	0.977106959971406
"M01110"	56	0	-0.0843839681318403	0.111398887766216	0.448754071844482	-0.134644231312826	0.119606852927301	0.260282622342028	0.179901217809945	0.331735812742122	0.587610014871455	4.3151023595304	1024.10596052737	133.329528769841	0.179901217809945	0.0768778548229441	0.0192790138140454	4.3151023595304	1024.10596052737	133.329528769841	-0.308320482372551	0.57696466414884	0.593076129493332	0.0143601707445129	0.013889064277266	0.301173920860263	4.3123985887664	1004.2262057733	0.977119631507072
"M01299"	56	0	-0.036827078501414	0.107733497398559	0.732475079360832	-0.035793726519331	0.114853225871836	0.755308392513906	0.119992404625726	0.104496045415762	0.250846335898571	1.35983731709436	101.703664092932	133.329528769841	0.119992404625726	0.0768445196363959	0.118406783490203	1.35983731709436	101.703664092932	133.329528769841	-0.0275343476840671	0.181924960643416	0.879699608017794	0.00433736669135487	0.00437797690939452	0.321820380244915	1.36006565422947	99.8880435259897	0.97710798909302
"M01493"	56	0	0.104387239920489	0.111405732571268	0.34875824163128	0.0969980805137672	0.118302104670637	0.412262587455337	0.200468135107196	0.110485218139026	0.0696109368650353	1.43757861052286	113.664774378807	133.329528769841	0.200468135107196	0.0768550793189956	0.0090968847357565	1.43757861052286	113.664774378807	133.329528769841	0.0737602709984909	0.192945246909048	0.702249221239964	0.00372520700069314	0.00464308155005684	0.422371636251069	1.44225771343968	112.325794846718	0.977107418124591
"M01589"	56	0	-0.198990830483476	0.105728439319871	0.0598232934130071	-0.173913131193715	0.114225306027245	0.127872660820146	-0.0397861926009562	0.0930491659664254	0.668955127910237	1.21020266360381	80.5524767846571	133.329528769841	-0.0397861926009562	0.0768872592705573	0.604834073456267	1.21020266360381	80.5524767846571	133.329528769841	-0.172002541387852	0.16197958786836	0.288291128151322	0.00388731868356214	0.00389811165190676	0.31865228461655	1.21026350695794	79.0958388388035	0.977109111946717
"M03147"	56	0	-0.0276653405298366	0.111940920085647	0.80479807001674	-0.0337479920903622	0.114493221585101	0.768177424397856	0.0411148029064184	0.0854251399449713	0.630305933654013	1.11139682475133	67.9361596137033	133.329528769841	0.0411148029064184	0.0768628612593751	0.592711285223016	1.11139682475133	67.9361596137033	133.329528769841	-0.013467659803506	0.149790602824526	0.928358805028942	0.00160480914745618	0.00360475650884466	0.656180929855937	1.11958760255828	67.6877255893187	0.977108402377625
"M17769"	56	0	0.13796805931845	0.119251756801442	0.247293682215963	0.126868245592994	0.128346373912124	0.322916015509484	0.057941865450444	0.127977776294383	0.650729180666885	1.55546851188226	133.071526030147	133.329528769841	0.057941865450444	0.0822760315086788	0.481284891012255	1.55546851188226	133.071526030147	133.329528769841	0.145428627422428	0.224499040929332	0.517119649694932	-0.00256902976172125	0.00539768263940093	0.634109641994617	1.56652260406125	132.515625727882	0.977087778115864
"M19263"	56	0	0.0943344392811722	0.109802033388167	0.390267700719175	0.101088860339405	0.11946077344238	0.39743579461094	0.0236288596630797	0.135386948451474	0.861450258741188	1.70363686412432	159.630821064184	133.329528769841	0.0236288596630797	0.0794693700884804	0.766212352816903	1.70363686412432	159.630821064184	133.329528769841	0.0113815514913101	0.237900111295682	0.961842383575282	0.000359985682085756	0.00572438642020003	0.949857016396833	1.71927596385352	159.619131353761	0.977116266730538
"M30460"	56	0	0.0525684173480032	0.108614448281208	0.628392243914504	0.0389489875999796	0.112285610913071	0.72868578896042	-0.00928195280444927	0.0778087676664463	0.905044130343525	0.980763856143225	52.904375783431	133.329528769841	-0.00928195280444927	0.0778087676664463	0.905044130343525	0.980763856143225	52.904375783431	133.329528769841	0.0256648350875826	0.135441264763163	0.849708387931745	-0.00102749024090179	0.00325948294564454	0.752586229762564	0.98887333165083	52.8050051667115	0.977106228861379
