Metabolite	num_IVs	num_unconditioned_IVs	unconditional_pass	conditional_pass	Coloc_MR_Pass
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	3	1	FALSE	FALSE	TRUE
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18_0_20_4)*	2	1	FALSE	FALSE	TRUE
1-adrenoyl-GPC (22_4)*	2	1	FALSE	FALSE	TRUE
1-arachidonoyl-GPA (20_4)	1	1	TRUE	TRUE	TRUE
1-eicosapentaenoyl-GPC (20_5)*	2	1	FALSE	FALSE	TRUE
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	2	1	FALSE	FALSE	TRUE
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	1	1	TRUE	TRUE	TRUE
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	2	1	FALSE	FALSE	TRUE
2-hydroxypalmitate	1	1	TRUE	TRUE	TRUE
2-linoleoyl-GPE (18_2)*	1	1	TRUE	TRUE	TRUE
cysteine sulfinic acid	1	0	FALSE	FALSE	FALSE
sphinganine	1	0	FALSE	FALSE	FALSE
sphingomyelin (d18_2_14_0, d18_1_14_1)*	1	0	FALSE	FALSE	FALSE
