Metabolite	R2_Exposure	R2_Outcome	Direction_Flag	Steiger_Pval	Liberal_Flag	MR_PRESSO_Global_Pval	MR_PRESSO_Outlier_Indices	MR_PRESSO_Outlier_Pvals	MR_RAPS_Beta	MR_RAPS_SE	MR_RAPS_Pval
1-(1-enyl-oleoyl)-GPC (P-18_1)*	0.010595889255335549	3.700900645904759e-4	TRUE	7.218991248587333e-21	TRUE	NA	NA	NA	0.11675225535771919	0.01720215017165317	1.1443068714811488e-11
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	0.0472187009357877	4.5582791962685406e-4	TRUE	3.029455395893757e-109	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18_0_20_4)*	0.05091804840890471	4.1945130621080806e-4	TRUE	3.63687416614021e-126	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18_0_18_2)*	0.006957883447910284	8.621809257915472e-5	TRUE	2.3857045516334086e-17	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18_0_18_2)*	0.021340531214728623	2.9635531858240757e-4	TRUE	7.693629481983229e-49	NA	0.213		NA	-0.07056847361173968	0.009958785915343368	1.3800072196090696e-12
1-adrenoyl-GPC (22_4)*	0.009912169696721719	0.0010751797815110183	TRUE	6.084119054617734e-14	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPA (20_4)	0.056882606891107274	4.3375499954738557e-4	TRUE	7.898852944668385e-141	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPI (20_4)*	0.05368165864093702	4.5398767425245973e-4	TRUE	3.264802504910909e-128	NA	NA	NA	NA	NA	NA	NA
1-eicosapentaenoyl-GPC (20_5)*	0.04861544703528489	4.2911912845410195e-4	TRUE	1.7145869536469524e-121	NA	NA	NA	NA	NA	NA	NA
1-linoleoyl-2-arachidonoyl-GPC (18_2_20_4n6)*	0.03729028745789411	4.55014509156065e-4	TRUE	2.230376878086383e-81	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	0.1043318053268202	4.3306188407536564e-4	TRUE	4.5919951408617833e-287	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	0.04272229546796695	4.0775769909996424e-4	TRUE	3.2984407842646216e-106	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-oleoyl-GPE (16_0_18_1)	0.04657266764989712	4.3111898564367684e-4	TRUE	4.283555839215921e-109	TRUE	NA	NA	NA	-0.11253741079867864	0.015190098890775734	1.27675647831893e-13
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	0.03220999619162426	4.035342734638789e-4	TRUE	5.117004713314841e-76	TRUE	NA	NA	NA	0.0929588168910925	0.01279525480844657	3.7281289166912757e-13
1-stearoyl-2-oleoyl-GPE (18_0_18_1)	0.06397442165550116	4.1873234692333067e-4	TRUE	1.8752432810447924e-158	TRUE	NA	NA	NA	-0.12944510656263805	0.01860910885657329	3.5005331966431186e-12
1-stearyl-GPC (O-18_0)*	0.0064990144087590145	3.5933600433173633e-4	TRUE	6.045767890921542e-12	NA	NA	NA	NA	NA	NA	NA
1,2-dilinoleoyl-GPC (18_2_18_2)	0.04353487250575297	4.7235747177231465e-4	TRUE	5.290281857985814e-104	NA	NA	NA	NA	NA	NA	NA
2-aminobutyrate	0.025300326636187427	4.4012528304648976e-4	TRUE	1.465745406017332e-55	NA	NA	NA	NA	NA	NA	NA
2-hydroxypalmitate	0.0038461789233377214	1.6750385541663745e-4	TRUE	1.762635415709311e-8	NA	NA	NA	NA	NA	NA	NA
2-linoleoyl-GPE (18_2)*	0.05558341889187752	4.1073596878139285e-4	TRUE	2.429874355173266e-142	NA	NA	NA	NA	NA	NA	NA
cysteine sulfinic acid	0.002219035417157775	2.419086225585547e-4	TRUE	2.6418570854009346e-4	NA	NA	NA	NA	NA	NA	NA
docosahexaenoate (DHA; 22_6n3)	0.011781956336282543	4.142040313864183e-4	TRUE	7.16372623324321e-24	NA	NA	NA	NA	NA	NA	NA
O-sulfo-L-tyrosine	0.020273297137941827	3.519202212145502e-4	TRUE	1.2146705395844204e-46	NA	NA	NA	NA	NA	NA	NA
palmitoylcarnitine	0.06669438840162238	3.972678331842957e-4	TRUE	4.53470828744442e-174	NA	NA	NA	NA	NA	NA	NA
sphinganine	0.006666249582249914	1.6893057589761526e-4	TRUE	8.459327872268208e-14	NA	NA	NA	NA	NA	NA	NA
sphingomyelin (d18_1_22_1, d18_2_22_0, d16_1_24_1)*	0.02154881661019744	3.9393239845570956e-4	TRUE	2.8907513131538524e-49	TRUE	NA	NA	NA	0.13365983861887865	0.020239938917763982	4.00839361702765e-11
sphingomyelin (d18_2_14_0, d18_1_14_1)*	0.00575745443952077	3.687978875298011e-4	TRUE	5.750384052342252e-11	NA	NA	NA	NA	NA	NA	NA
sphingomyelin (d18_2_24_1, d18_1_24_2)*	0.005093182435521581	3.593396079380528e-4	TRUE	1.3472066041887162e-9	NA	NA	NA	NA	NA	NA	NA
X - 24295	0.0032543797043360924	8.191071428781603e-4	TRUE	0.001369079950538998	NA	NA	NA	NA	NA	NA	NA
