Metabolite	num_IVs	num_unconditioned_IVs	unconditional_pass	conditional_pass	num_IVs_v2	IVW_Estimate	IVW_SE	IVW_Pval	IVW_Fstat
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	3	1	FALSE	FALSE	1	0.11768838374841108	0.01850744744430658	2.0310530385028288e-10	384.28555593448743
1-arachidonoyl-GPE (20_4n6)*	3	1	FALSE	FALSE	1	-0.14508165186932226	0.032052923087408404	6.002087046271454e-6	128.64157150592013
1-dihomo-linoleoyl-GPC (20_2)*	3	2	FALSE	FALSE	2	-0.32286668751651476	0.03238288505937924	2.056318730428256e-23	59.80071076503633
1-eicosapentaenoyl-GPC (20_5)*	2	1	FALSE	FALSE	1	0.09822404133146768	0.014733606199720153	2.6167849372106156e-11	623.9492198407768
1-eicosapentaenoyl-GPE (20_5)*	3	1	FALSE	FALSE	1	-0.2868690699435512	0.06089957909416171	2.4707789256061506e-6	36.07650672360458
1-linoleoyl-GPI (18_2)*	2	1	FALSE	FALSE	1	-0.19322541258847895	0.029095718497879067	3.115078363707796e-11	159.26242293008434
1-palmitoyl-2-oleoyl-GPC (16_0_18_1)	1	0	FALSE	FALSE	0	NA	NA	NA	NA
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	2	1	FALSE	FALSE	1	0.1709112759964909	0.027790451381543235	7.748294693351374e-10	168.01030751066222
1-palmitoyl-GPE (16_0)	2	1	FALSE	FALSE	1	-0.5358907148457613	0.04803801228697063	6.727130115596921e-29	62.95753561470565
2-palmitoyl-GPE (16_0)*	2	0	FALSE	FALSE	1	-0.634008277243282	0.0568334113066687	6.727130115596921e-29	44.64429047440565
alpha-hydroxyisovalerate	3	0	FALSE	FALSE	0	NA	NA	NA	NA
cholesterol	3	1	FALSE	FALSE	1	-0.2564283803185262	0.052388593828516114	9.84373617731656e-7	49.7765082164743
gamma-glutamyl-2-aminobutyrate	1	0	FALSE	FALSE	1	-0.2363013105341857	0.055516572956826764	2.0773536603971973e-5	39.729756061444974
glutamate	1	0	FALSE	FALSE	0	NA	NA	NA	NA
X - 24020	2	1	FALSE	FALSE	1	-0.1676668841137187	0.017329910502709944	3.8509164874575863e-22	324.4751880965097
