Metabolite	R2_Exposure	R2_Outcome	Direction_Flag	Steiger_Pval	Liberal_Flag	MR_PRESSO_Global_Pval	MR_PRESSO_Outlier_Indices	MR_PRESSO_Outlier_Pvals	MR_RAPS_Beta	MR_RAPS_SE	MR_RAPS_Pval
1-(1-enyl-oleoyl)-GPC (P-18_1)*	0.010595889255335549	4.170171542126365e-5	TRUE	1.0100812529868636e-28	TRUE	NA	NA	NA	0.16710264281850057	0.03277647717253183	3.428096513324874e-7
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	0.0472187009357877	1.28173353854091e-4	TRUE	1.900984200364069e-127	NA	NA	NA	NA	NA	NA	NA
1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18_0_18_2)*	0.006957883447910284	3.525045738105858e-5	TRUE	1.1313903709649906e-19	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPA (20_4)	0.056882606891107274	4.048850018625007e-5	TRUE	2.4002165727393997e-167	NA	NA	NA	NA	NA	NA	NA
1-arachidonoyl-GPE (20_4n6)*	0.027796122447990863	2.7250425197531283e-5	TRUE	5.094219717777053e-83	TRUE	NA	NA	NA	-0.07614004693770136	0.018188868454546075	2.838141446059872e-5
1-arachidoyl-GPC (20_0)	0.006871857318835225	1.2129294378475398e-4	TRUE	8.452633380394212e-17	NA	NA	NA	NA	NA	NA	NA
1-dihomo-linoleoyl-GPC (20_2)*	0.012131943749451615	1.3202327222244808e-4	TRUE	8.508788410716274e-32	NA	NA	NA	NA	NA	NA	NA
1-eicosapentaenoyl-GPC (20_5)*	0.04861544703528489	4.8136320518392664e-5	TRUE	6.182007465676205e-146	NA	NA	NA	NA	NA	NA	NA
1-eicosapentaenoyl-GPE (20_5)*	0.012273727006930229	3.2356582736881556e-5	TRUE	5.356583225588629e-35	NA	NA	NA	NA	NA	NA	NA
1-eicosenoyl-GPC (20_1)*	0.009253749536831803	1.2717369267302032e-4	TRUE	2.8177259236938826e-23	NA	NA	NA	NA	NA	NA	NA
1-linoleoyl-2-arachidonoyl-GPC (18_2_20_4n6)*	0.03729028745789411	4.301839349442185e-5	TRUE	2.460746089804051e-100	NA	NA	NA	NA	NA	NA	NA
1-linoleoyl-GPI (18_2)*	0.04186376840180105	4.768498204554632e-5	TRUE	2.8334541709640642e-121	NA	NA	NA	NA	NA	NA	NA
1-margaroyl-GPC (17_0)	0.0031107114804562156	1.543285523253948e-4	TRUE	4.7295248808726523e-7	NA	NA	NA	NA	NA	NA	NA
1-methylhistidine	0.052730355081110104	4.6912725422072984e-5	TRUE	3.1085683818321343e-148	NA	NA	NA	NA	NA	NA	NA
1-myristoyl-2-linoleoyl-GPC (14_0_18_2)*	0.00918132210663295	1.1675646750943232e-4	TRUE	8.665615388980927e-23	NA	NA	NA	NA	NA	NA	NA
1-palmitoleoyl-GPC (16_1)*	0.003041823791748418	1.1359939701337014e-4	TRUE	1.333418471725318e-7	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-arachidonoyl-GPI (16_0_20_4)*	0.04567014256764017	4.33508151706997e-5	TRUE	2.0604139868202997e-135	NA	0.336		NA	0.10139024241093607	0.017498284481841948	6.86082990419834e-9
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	0.1043318053268202	4.806520766460001e-5	TRUE	0	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	0.04272229546796695	4.6633739149118985e-5	TRUE	1.492180146222884e-127	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-oleoyl-GPC (16_0_18_1)	0.0036682071876951434	4.610690507034463e-5	TRUE	1.8225983528430623e-10	NA	NA	NA	NA	NA	NA	NA
1-palmitoyl-2-oleoyl-GPE (16_0_18_1)	0.04657266764989712	6.531899050850944e-5	TRUE	7.79199007368626e-130	TRUE	NA	NA	NA	-0.2004441539641792	0.032077490936090754	4.1375614046046394e-10
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	0.03220999619162426	4.6150921948008046e-5	TRUE	4.070401805450556e-93	TRUE	NA	NA	NA	0.1264671775701406	0.025944288248727524	1.090472390830044e-6
1-palmitoyl-GPE (16_0)	0.013676560652529457	1.3472077541107274e-4	TRUE	4.804048783336059e-36	NA	NA	NA	NA	NA	NA	NA
1-stearoyl-2-oleoyl-GPE (18_0_18_1)	0.06397442165550116	5.2721164612667714e-5	TRUE	6.593318596406919e-190	TRUE	NA	NA	NA	-0.20368302175355488	0.036733596815259374	2.9417252189745113e-8
1-stearyl-GPC (O-18_0)*	0.0064990144087590145	3.751932130358531e-5	TRUE	1.859017546412905e-17	NA	NA	NA	NA	NA	NA	NA
1,2-dilinoleoyl-GPC (18_2_18_2)	0.03854046450467761	4.6300365325897437e-5	TRUE	1.854653963260343e-108	NA	NA	NA	NA	NA	NA	NA
1,3,7-trimethylurate	0.013388755498352221	2.4117149917850347e-5	TRUE	1.3211646688853064e-37	NA	NA	NA	NA	NA	NA	NA
2-arachidonoyl-GPC (20_4)*	0.004385519798482372	2.7975440765888268e-5	TRUE	6.683238228395704e-13	NA	NA	NA	NA	NA	NA	NA
2-arachidonoyl-GPE (20_4)*	0.008963993359734254	2.060769787108512e-5	TRUE	9.48865882362561e-27	NA	NA	NA	NA	NA	NA	NA
2-linoleoyl-GPE (18_2)*	0.05558341889187752	4.629418762602458e-5	TRUE	3.2321865699310846e-168	NA	NA	NA	NA	NA	NA	NA
2-palmitoyl-GPE (16_0)*	0.010309829137290312	1.3496848258376832e-4	TRUE	1.5521690076982144e-26	NA	NA	NA	NA	NA	NA	NA
5-acetylamino-6-amino-3-methyluracil	0.10250059235392953	4.5662539349436936e-5	TRUE	0	TRUE	NA	NA	NA	0.05420072416989337	0.008910608988259067	1.1816185807589363e-9
5-acetylamino-6-formylamino-3-methyluracil	0.09802250585702937	3.4156482600325265e-5	TRUE	2.6569781612140403e-298	NA	NA	NA	NA	NA	NA	NA
alpha-hydroxyisovalerate	0.015205759829029627	8.603209346951921e-5	TRUE	1.9986668155141183e-41	NA	NA	NA	NA	NA	NA	NA
arachidonate (20_4n6)	0.004385519798482372	2.7975440765888268e-5	TRUE	6.683238228395704e-13	NA	NA	NA	NA	NA	NA	NA
cholesterol	0.015518549030150841	1.4545060474877464e-4	TRUE	6.116294372232499e-41	TRUE	NA	NA	NA	-0.3393858087214539	0.03950333444614793	0
cysteine sulfinic acid	0.002219035417157775	4.6958596440964706e-5	TRUE	1.8344371485086853e-6	NA	NA	NA	NA	NA	NA	NA
dihomo-linolenate (20_3n3 or n6)	0.027555976606024792	4.2370286641985995e-5	TRUE	1.1211111803611596e-78	NA	NA	NA	NA	NA	NA	NA
docosahexaenoate (DHA; 22_6n3)	0.011781956336282543	3.947603258713146e-5	TRUE	3.756806448367397e-33	NA	NA	NA	NA	NA	NA	NA
dopamine sulfate (2)	0.008431082966664165	1.3226446641588697e-4	TRUE	1.475105443629189e-21	NA	NA	NA	NA	NA	NA	NA
gamma-glutamyl-2-aminobutyrate	0.009968104364152476	2.7365459955343933e-5	TRUE	3.6865977310062486e-27	NA	NA	NA	NA	NA	NA	NA
glutamate	0.011978298764228876	7.979268178169911e-5	TRUE	4.140743688608033e-32	NA	NA	NA	NA	NA	NA	NA
N-acetylmethionine	0.0035538246034550634	7.885443595982724e-5	TRUE	1.809733133828362e-9	NA	NA	NA	NA	NA	NA	NA
O-sulfo-L-tyrosine	0.020273297137941827	1.2294663728993504e-4	TRUE	2.7044208751509107e-55	NA	NA	NA	NA	NA	NA	NA
ornithine	0.1209358208113901	1.2475529085828583e-4	TRUE	0	NA	NA	NA	NA	NA	NA	NA
sphinganine	0.006666249582249914	1.5932161774017558e-4	TRUE	1.7058213746304717e-14	NA	NA	NA	NA	NA	NA	NA
sphingomyelin (d18_2_14_0, d18_1_14_1)*	0.00575745443952077	3.7207223157495756e-5	TRUE	1.4059234271399613e-16	NA	NA	NA	NA	NA	NA	NA
sphingomyelin (d18_2_24_1, d18_1_24_2)*	0.005093182435521581	3.9457175901610116e-5	TRUE	1.2428722677611798e-14	NA	NA	NA	NA	NA	NA	NA
succinimide	0.11293450675354286	2.927806427993961e-5	TRUE	1.0811332923827962e-292	NA	NA	NA	NA	NA	NA	NA
tyrosine	0.12674539588923456	3.546734201507052e-4	TRUE	0	NA	NA	NA	NA	NA	NA	NA
X - 11441	0.11293450675354286	2.927806427993961e-5	TRUE	1.0811332923827962e-292	NA	NA	NA	NA	NA	NA	NA
X - 11442	0.11293450675354286	2.927806427993961e-5	TRUE	1.0811332923827962e-292	NA	NA	NA	NA	NA	NA	NA
X - 11849	0.009496338738315575	2.5940229059471415e-5	TRUE	9.894698760070721e-28	NA	NA	NA	NA	NA	NA	NA
X - 12339	0.025452782262813414	4.7604635853446055e-5	TRUE	1.9671690997547592e-72	NA	NA	NA	NA	NA	NA	NA
X - 16946	0.11293450675354286	2.927806427993961e-5	TRUE	1.0811332923827962e-292	NA	NA	NA	NA	NA	NA	NA
X - 18886	0.00631664930732794	6.760338362193883e-5	TRUE	7.12737741550794e-14	NA	NA	NA	NA	NA	NA	NA
X - 24020	0.05813255916459485	1.1071053975869736e-4	TRUE	7.607988268578369e-109	NA	NA	NA	NA	NA	NA	NA
X - 24295	0.0032543797043360924	1.418661318329105e-4	TRUE	1.9780454759544525e-7	NA	NA	NA	NA	NA	NA	NA
xanthine	0.10876212483416312	1.0624238639786157e-4	TRUE	0	NA	NA	NA	NA	NA	NA	NA
