Metabolite	compid
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	M52673
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18_0_20_4)*	M52475
1-adrenoyl-GPC (22_4)*	M52698
1-arachidonoyl-GPA (20_4)	M46325
1-eicosapentaenoyl-GPC (20_5)*	M44563
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	M42449
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	M52450
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	M52616
2-hydroxypalmitate	M35675
2-linoleoyl-GPE (18_2)*	M36593
cysteine sulfinic acid	37443
sphinganine	M17769
sphingomyelin (d18_2_14_0, d18_1_14_1)*	M47154
