Metabolite	Number_of_IVs	Number_of_Proxies	Weighted_Mode_Estimate	Weighted_Mode_SE	Weighted_Mode_Pval	Weighted_Median_Estimate	Weighted_Median_SE	Weighted_Median_Pval	Random_IVW_Estimate	Random_IVW_SE	Random_IVW_Pval	Random_IVW_RSE	Random_IVW_HetStat	Random_IVW_FStat	Fixed_IVW_Estimate	Fixed_IVW_SE	Fixed_IVW_Pval	Fixed_IVW_RSE	Fixed_IVW_HetStat	Fixed_IVW_FStat	Egger_Estimate	Egger_SE	Egger_Pval	Egger_Intercept	Egger_Intercept_SE	Egger_Intercept_Pval	Egger_RSE	Egger_HetStat	Egger_Isq
M00057	311	0	0.0733505406378683	0.037231371184168	0.0488237833020516	0.0358271117275586	0.0336570068906288	0.287112641279922	0.0636394124460964	0.018306324264813	5.0826547807086e-4	1.10060479466155	375.51258334992	119.184345185283	0.0636394124460964	0.0166329679405425	1.3018898191739e-4	1.10060479466155	375.51258334992	119.184345185283	0.0242709947853528	0.0339066266659964	0.474103352112069	0.00223023305058648	0.00161776906894306	0.168022576424881	1.09900973253036	373.217119188704	0.96688894545491
M01299	311	0	-0.00139873825728043	0.0355734679790001	0.968635496657825	0.0053202942953446	0.0307492743637418	0.862634305001857	0.054498604799078	0.0177178741228602	0.00209860441066769	1.06535026920956	351.841070792513	119.184345185283	0.054498604799078	0.0166310317225583	0.00104945109233748	1.06535026920956	351.841070792513	119.184345185283	0.0550476582593297	0.0329182354131163	0.0944742018274245	-3.11035034157871e-5	0.00157059822384864	0.98420004381282	1.06707206733283	351.840624236524	0.9668891147244
M01589	311	0	-0.018242108276175	0.0387198836148522	0.637547727490867	-0.0300925633618573	0.0288888058460883	0.297565328901226	-0.060430710689513	0.0180534396568323	8.159580088545e-4	1.08493256433845	364.894387440222	119.184345185283	-0.060430710689513	0.0166401491210107	2.8164682914095e-4	1.08493256433845	364.894387440222	119.184345185283	-0.00125048343928116	0.0332988978889113	0.970043844339001	-0.00335286066410464	0.00158884980812498	0.0348373503663473	1.07893998128799	359.710448315512	0.966891513635885
M03147	311	0	0.0329886065822067	0.0330144158843225	0.317688981111229	0.0448465580916214	0.0334215248752516	0.179645752958207	0.0425127128600268	0.016904092365705	0.0119053945158697	1.01614069703869	320.087994015268	119.184345185283	0.0425127128600268	0.0166355824690105	0.0106026536196673	1.01614069703869	320.087994015268	119.184345185283	0.040543510986835	0.0314057975771875	0.196718845033716	1.1155294104717e-4	0.0014984184765351	0.940654615975266	1.01777448189799	320.082252864842	0.966887669490681
M19263	311	0	0.0690359143958705	0.0358279951658567	0.0539957448545354	0.0701290874915801	0.0367373737759633	0.0562710782264708	0.0601663671126395	0.0202289566588428	0.00293687091088066	1.1763666506692	428.989934010069	119.184345185283	0.0601663671126395	0.0171961323855408	4.6730205369166e-4	1.1763666506692	428.989934010069	119.184345185283	0.0650657995850372	0.037569169224297	0.0832925281494203	-2.7764757735454e-4	0.00179288317566172	0.87693094593214	1.17822289815433	428.956642100173	0.966903877435795
M34214	311	0	0.0228937842630041	0.0361198528172006	0.52619289368941	0.0163099041005801	0.0349248008704488	0.640499425461179	0.049880291943681	0.022292874975035	0.0252537256319835	1.33895823677174	555.770839543857	119.184345185283	0.049880291943681	0.0166494177060994	0.00273619907709666	1.33895823677174	555.770839543857	119.184345185283	0.00200403563895052	0.0412912743082602	0.961290573093718	0.00271212921903824	0.00197006347904915	0.168613995034624	1.3370290814875	552.382850305682	0.966886437507676
M41220	311	0	0.0269164305262322	0.0336341474176959	0.423553840320773	0.0310939745987164	0.030221196614771	0.303536225892289	0.0445022325794674	0.0188215846785694	0.0180580645836986	1.12891312248866	395.077899819399	119.184345185283	0.0445022325794674	0.016672305692645	0.00760251791757073	1.12891312248866	395.077899819399	119.184345185283	0.0688164658258542	0.0349271639658821	0.0488057212541402	-0.0013774617568376	0.00166648115083545	0.408481360581553	1.12949037324848	394.206287507646	0.966889709837735
M42374	311	0	-0.0216664880935735	0.039486112771067	0.583203384631258	0.0257566486410603	0.0289771597609422	0.37407813184938	0.046760597910107	0.0183589845136229	0.0108648949978989	1.10283265307391	377.034356812672	119.184345185283	0.046760597910107	0.0166471172779036	0.0049706353148104	1.10283265307391	377.034356812672	119.184345185283	0.0271154101515343	0.0340795249033503	0.426234879221471	0.00111303447007635	0.00162614323060994	0.493683002549725	1.10377930184864	376.463582881545	0.966892457560787
M42448	311	0	0.0206597793042747	0.0335104404183395	0.537552900481231	0.0211181155067681	0.0329564464467257	0.521660034140799	0.051677855764643	0.0201982456443201	0.0105115176144241	1.20633597451542	451.126409857118	119.184345185283	0.051677855764643	0.0167434662241866	0.00202562643802225	1.20633597451542	451.126409857118	119.184345185283	0.0596692438634698	0.0375197023740331	0.111757223835547	-4.5276821272661e-4	0.00179032888456662	0.800348062971542	1.20816137176984	451.033055173167	0.96688938469092
M44675	311	0	0.0251395256394942	0.0340723300990496	0.460618860688179	0.0105042828795766	0.031426072361237	0.738188079109694	0.0399991042169985	0.0192819947537247	0.0380396060633509	1.15865943277121	416.172421156408	119.184345185283	0.0399991042169985	0.0166416413730886	0.0162365140275283	1.15865943277121	416.172421156408	119.184345185283	0.0182008216914852	0.0357949677108715	0.611120747377853	0.001234792217487	0.00170778158379327	0.469656093525039	1.15955228578968	415.469504575339	0.966885615016549
M44682	311	0	0.0141890281965273	0.0321927616206292	0.659392453794825	-0.00225048811261097	0.0350866799662846	0.948858106154275	-0.047412909958877	0.0196379478180998	0.0157632445269657	1.17802356663605	430.199252300475	119.184345185283	-0.047412909958877	0.016670250387416	0.00445282568796248	1.17802356663605	430.199252300475	119.184345185283	0.0211561195660636	0.0361859014403863	0.55878248027998	-0.0038849051915856	0.00172664832321763	0.0244509135884812	1.1703799693166	423.264885226453	0.966891203920873
M45413	311	0	0.0396151506079221	0.0339403950166582	0.243130544201632	0.0302780691577697	0.0356459164807619	0.395652078972357	0.0259663226655795	0.0186064539257092	0.1628486571568	1.1192452786776	388.34009809105	119.184345185283	0.0259663226655795	0.0166241075840793	0.118295547514487	1.1192452786776	388.34009809105	119.184345185283	0.0703709045526327	0.0344367379463742	0.0410046026472781	-0.00251564019992632	0.0016431078202566	0.1257630562517	1.11682683367578	385.416372513242	0.966890290208411
M45456	311	0	-0.0554640652029379	0.0337290445781122	0.100093456416042	-0.0485942684056348	0.0361996075054796	0.179467093069717	-0.0696519455999633	0.0190553187698654	2.5693191680193e-4	1.11738357317375	387.049275375544	119.184345185283	-0.0696519455999633	0.0170535161133091	4.42068737735645e-5	1.11738357317375	387.049275375544	119.184345185283	-0.0766069736912525	0.0354067434917173	0.0304930147744407	3.9391435319687e-4	0.00168910514430522	0.815599194937315	1.1190916966691	386.981163696101	0.966883201646791
