name	superpathway	subpathway	compid	chemid	platform	mass	ri	hmdb_ef	cas	pubchem	chemspider	hmdb	key	kegg	source	T2DM_SNPs	FG_SNPs	HBA1C_SNPs
1-palmitoyl-GPE (16_0)	Lipid	Lysolipid	M35631	100001567	LC/MS Pos Late	454.2928	1544	HMDB0011503	NA	9547069	7826019	HMDB11503	10	NA	responses	rs61781290, rs483082	rs61781290, rs483082	rs61781290, rs483082
2-palmitoyl-GPE (16_0)*	Lipid	Lysolipid	M45452	100001652	LC/MS Neg	452.2783	5919	HMDB0011473;HMDB0011503	NA	NA	NA	NA	12	NA	responses	rs1492701, rs483082	rs1492701, rs483082	rs1492701, rs483082
1-palmitoleoyl-GPC (16_1)*	Lipid	Lysolipid	M33230	100001511	LC/MS Pos Late	494.3241	1450	HMDB0010383	NA	24779461	21403152	HMDB10383	21	NA	responses	rs73004967	rs73004967	rs73004967
2-linoleoyl-GPE (18_2)*	Lipid	Lysolipid	M36593	100001776	LC/MS Neg	476.2783	5813	HMDB0011477;HMDB0011507	NA	NA	NA	NA	22	NA	responses	rs174546	rs174546	rs174546
1-arachidonoyl-GPE (20_4n6)*	Lipid	Lysolipid	M35186	100001571	LC/MS Pos Late	502.2928	1450	HMDB0011517	NA	42607465	21403171	HMDB11517	26	NA	responses	rs2639458, rs56165099, rs35853021	rs2639458, rs56165099, rs35853021	rs2639458, rs56165099, rs35853021
cholesterol	Lipid	Sterol	M00063	266	LC/MS Pos Late	369.3516	2707	HMDB0000067	57-88-5	11025495	4937803	HMDB00067	63	C00187	responses	rs7528419, rs2414578, rs73004967	rs7528419, rs2414578, rs73004967	rs7528419, rs2414578, rs73004967
1-palmitoyl-2-stearoyl-GPC (16_0_18_0)	Lipid	Phospholipid Metabolism	M52616	100008921	LC/MS Pos Late	762.6007	2653	HMDB0007970	59403-51-9	NA	24766643	NA	70	NA	responses	rs602633, rs28456	rs602633, rs28456	rs602633, rs28456
1-adrenoyl-GPC (22_4)*	Lipid	Lysolipid	M52698	100002871	LC/MS Pos Late	572.3711	1512	HMDB0010401	NA	NA	NA	NA	172	NA	responses	rs2236514	rs11127048, rs2236514	rs11127048, rs2236514
1-dihomo-linoleoyl-GPC (20_2)*	Lipid	Lysolipid	M33871	100001553	LC/MS Pos Late	548.3711	1577	HMDB0010392	NA	NA	21403157	HMDB10392	175	NA	responses	rs498936, rs4985155, rs2304128	rs498936, rs4985155, rs2304128	rs498936, rs4985155, rs2304128
1-palmitoyl-2-linoleoyl-GPE (16_0_18_2)	Lipid	Phospholipid Metabolism	M42449	100001870	LC/MS Pos Late	716.5225	2275	HMDB0008928	NA	9546747	7825697	HMDB05322	179	NA	responses	rs174546, rs2070895	rs174546, rs2070895	rs174546, rs2070895
1-eicosapentaenoyl-GPE (20_5)*	Lipid	Lysolipid	M47888	100004552	LC/MS Neg	498.2626	5665	HMDB0011489	NA	NA	NA	NA	186	NA	responses	rs3103780, rs55695203, rs422137	rs3103780, rs55695203, rs422137	rs3103780, rs55695203, rs422137
gamma-glutamyl-2-aminobutyrate	Peptide	Gamma-glutamyl Amino Acid	M37092	100001502	LC/MS Pos Early	233.1132	2380	~HMDB0036301	NA	NA	21403151	NA	201	NA	responses	rs10014755, rs3859862	rs10014755, rs3859862	rs10014755, rs3859862
2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	M35675	100001579	LC/MS Neg	271.2279	5511.2	HMDB0031057	764-67-0	92836	83805	HMDB31057	304	NA	responses	rs59771628	rs59771628	rs59771628
